"name","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"Ray Rice","RB","BAL",8,39,NA,NA,NA,NA,NA,NA,NA,251.3,1186.3,4.7,8,63.3,515.3,8.1,2,NA,1.7,211.6
"LeSean McCoy","RB","PHI",9,40,NA,NA,NA,NA,NA,NA,NA,268,1270.7,4.7,9,50,382,7.6,2,NA,2,211
"Alfred Morris","RB","WAS",10,41,NA,NA,NA,NA,NA,NA,NA,313.3,1423.7,4.5,11,15,79.7,5.3,0.3,NA,2.3,199.2
"Dez Bryant","WR","DAL",2,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.7,1424.7,14.9,11,NA,1.3,198.4
"A.J. Green","WR","CIN",3,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.7,1392,14.5,10.7,NA,0,197.2
"Matt Forte","RB","CHI",11,44,NA,NA,NA,NA,NA,NA,NA,255.3,1150.3,4.5,5.3,59,470,8,3,NA,2,191.8
"Brandon Marshall","WR","CHI",4,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.7,1384,13.3,10.3,NA,0.7,190.4
"Julio Jones","WR","ATL",5,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.3,1311,15.4,10.7,NA,0,188.2
"Stevan Ridley","RB","NE",12,46,NA,NA,NA,NA,NA,NA,NA,276,1267.7,4.6,11.7,9.7,78.3,8.1,0,NA,2,188.2
"Steven Jackson","RB","ATL",13,46,NA,NA,NA,NA,NA,NA,NA,255,1147.3,4.5,9,42,335,8,0.7,NA,1,188.2
"Chris Johnson","RB","TEN",14,49,NA,NA,NA,NA,NA,NA,NA,269.3,1284.7,4.8,7,39,291.3,7.5,1,NA,1.7,186.6
"Demaryius Thomas","WR","DEN",7,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.7,1312,15.1,10.3,NA,1.7,182.4
"Larry Fitzgerald","WR","ARI",6,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.3,1303,14.3,10,NA,0.3,182.4
"Blaine Gabbert","QB","JAC",31,52,365.7,220,2795.3,16.3,11.7,60.2,7.6,25,70.7,2.8,0.7,NA,NA,NA,NA,NA,2.7,179.2
"Reggie Bush","RB","DET",15,53,NA,NA,NA,NA,NA,NA,NA,210.3,959.7,4.6,4.7,70.7,562.3,8,2.7,NA,1.7,177
"Maurice Jones-Drew","RB","JAC",16,54,NA,NA,NA,NA,NA,NA,NA,281.7,1207,4.3,6.3,38,298,7.8,1.3,NA,2,175.6
"Andre Johnson","WR","HOU",8,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,1384.3,14.3,7.3,NA,0,173.8
"DeMarco Murray","RB","DAL",17,56,NA,NA,NA,NA,NA,NA,NA,244.7,1114.7,4.6,7.3,38.7,312,8.1,1,NA,1.3,173.2
"Roddy White","WR","ATL",9,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.3,1263.7,14.3,9,NA,0,171
"Randall Cobb","WR","GB",10,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.7,1188.3,12.3,8.7,NA,1.3,168.8
"Lamar Miller","RB","MIA",18,59,NA,NA,NA,NA,NA,NA,NA,232.7,1115.7,4.8,6.3,35,295,8.4,1.3,NA,1,167.6
"Vincent Jackson","WR","TB",11,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.3,1222,16.7,8.7,NA,0.3,165.6
"Le'Veon Bell","RB","PIT",19,61,NA,NA,NA,NA,NA,NA,NA,258.7,1128,4.4,7.3,29,205.3,7.1,1.3,NA,1.7,165.2
"Victor Cruz","WR","NYG",12,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.7,1225.7,14,8.3,NA,0,163.8
"Frank Gore","RB","SF",20,63,NA,NA,NA,NA,NA,NA,NA,245.7,1092.7,4.4,7.3,24.3,210,8.6,1,NA,1.3,162.2
"Jimmy Graham","TE","NO",1,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.3,1098.7,12.6,10,NA,0,161
"David Wilson","RB","NYG",21,65,NA,NA,NA,NA,NA,NA,NA,219,1094.7,5,5.7,27,240.3,8.9,1.7,NA,1,160.4
"Geno Smith","QB","NYJ",32,66,330.3,200.3,1590.7,15,10.3,60.6,4.8,76.7,340.7,4.4,2,NA,NA,NA,NA,NA,2.7,158
"Pierre Garcon","WR","WAS",13,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.7,1168.3,15.4,7.7,NA,0.3,155.6
"Dwayne Bowe","WR","KC",14,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.3,1162,14.3,8,NA,0.3,155.4
"Marques Colston","WR","NO",15,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.7,1132.3,13.9,8.7,NA,1,155.2
"Darren McFadden","RB","OAK",22,70,NA,NA,NA,NA,NA,NA,NA,228.3,1036.3,4.5,5.7,38.3,303.7,7.9,1.3,NA,2,154
"Rob Gronkowski","TE","NE",2,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.3,976.7,13.9,10.7,NA,1,153.2
"Darren Sproles","RB","NO",23,72,NA,NA,NA,NA,NA,NA,NA,75.7,415.7,5.5,2.7,77.3,710.7,9.2,7,NA,1,152.2
"Wes Welker","WR","DEN",16,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.7,1126,12.7,7.3,NA,0,149.8
"Reggie Wayne","WR","IND",17,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.3,1172,13.4,6.3,NA,0.7,146.4
"Eric Decker","WR","DEN",18,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.3,973.7,13.7,9.7,NA,1,145.2
"Steve Smith","WR","CAR",19,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.7,1142,15.7,6.3,NA,1,143.8
"Cecil Shorts","WR","JAC",20,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.3,1128,16.5,6.3,NA,0.7,142.4
"Danny Amendola","WR","NE",21,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.3,1116.3,11.7,6.7,NA,1.3,141.6
"Hakeem Nicks","WR","NYG",22,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.7,1046.7,14.8,7.3,NA,0.3,140.2
"Montee Ball","RB","DEN",24,80,NA,NA,NA,NA,NA,NA,NA,209.3,914.7,4.4,8,22.3,171.3,7.7,0.3,NA,1.7,139.4
"James Jones","WR","GB",23,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.3,943,14,9.3,NA,1,138.8
"Antonio Brown","WR","PIT",24,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.3,1075,13.4,6.7,NA,1.7,137.8
"Giovani Bernard","RB","CIN",25,82,NA,NA,NA,NA,NA,NA,NA,179.3,852.3,4.8,5,38,310.3,8.2,1.7,NA,1.7,137.8
"Jordy Nelson","WR","GB",25,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.3,970.3,15.1,8,NA,0.3,136.4
"T.Y. Hilton","WR","IND",26,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.3,976,14.9,7.3,NA,0,135.8
"Torrey Smith","WR","BAL",27,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,1016.7,16.4,7,NA,0.7,135.6
"Shane Vereen","RB","NE",26,87,NA,NA,NA,NA,NA,NA,NA,125.7,600.3,4.8,4.3,50.7,456.7,9,3,NA,0,132.8
"Steve Johnson","WR","BUF",28,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,1029.3,13.4,6.7,NA,1.3,132.6
"Chris Ivory","RB","NYJ",27,89,NA,NA,NA,NA,NA,NA,NA,230,997,4.3,6.3,12,89.3,7.4,0,NA,1,131.8
"DeSean Jackson","WR","PHI",29,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,969.3,14.9,6,NA,1.7,131.8
"Tavon Austin","WR","STL",30,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.7,936.7,11.9,5.3,NA,1,131.6
"Kenny Britt","WR","TEN",31,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,961.7,15.5,7.3,NA,0.7,131.4
"Rashard Mendenhall","RB","ARI",28,93,NA,NA,NA,NA,NA,NA,NA,232.7,952,4.1,6,21.7,170.7,7.9,0.3,NA,1.3,131.2
"Mike Wallace","WR","MIA",32,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.3,989,15.6,6.7,NA,1,130.2
"Ahmad Bradshaw","RB","IND",29,95,NA,NA,NA,NA,NA,NA,NA,194.7,861.7,4.4,6,25.7,200.3,7.8,1,NA,1,130
"Mike Williams","WR","TB",33,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,949,14.6,7.3,NA,1,128.8
"Ryan Mathews","RB","SD",30,97,NA,NA,NA,NA,NA,NA,NA,199.7,871.7,4.4,5,29,221,7.6,0.7,NA,1.7,123.8
"Jason Witten","TE","DAL",3,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.3,966,10.6,5.7,NA,0,123.2
"Josh Gordon","WR","CLE",34,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.3,910.3,16.2,7,NA,0.7,122.6
"Miles Austin","WR","DAL",35,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.3,890.3,13.6,7,NA,0.7,121.6
"Tony Gonzalez","TE","ATL",4,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.3,891.7,10.6,6.7,NA,0,121.2
"Andre Brown","RB","NYG",31,102,NA,NA,NA,NA,NA,NA,NA,158.3,696.3,4.4,8.3,22,161.7,7.3,0.3,NA,1.3,120
"Lance Moore","WR","NO",36,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,917.3,14.3,6,NA,0,120
"Chris Givens","WR","STL",37,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.7,895.3,15.8,6.3,NA,0.3,119.2
"Vernon Davis","TE","SF",5,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,883.7,13.8,6.3,NA,0,118.8
"Michael Floyd","WR","ARI",38,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.3,874,14,6.7,NA,0.3,118.6
"Eddie Lacy","RB","GB",32,107,NA,NA,NA,NA,NA,NA,NA,182.3,819,4.5,6.3,18.7,138.7,7.4,0.3,NA,1.3,118
"Golden Tate","WR","SEA",39,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.3,854.7,14.7,6.7,NA,0.7,117.8
"Greg Jennings","WR","MIN",40,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,841.3,12.9,6.3,NA,0,113.8
"Daryl Richardson","RB","STL",33,110,NA,NA,NA,NA,NA,NA,NA,166.3,723.3,4.3,4.3,33.7,245.7,7.3,1.3,NA,1,113.6
"Anquan Boldin","WR","SF",41,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.3,871,14.2,5.7,NA,0.3,112.6
"Ryan Broyles","WR","DET",42,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.7,884.3,13.9,5.3,NA,0.3,112.2
"DeAndre Hopkins","WR","HOU",43,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,792.7,15.5,6.3,NA,0.3,109.2
"Alshon Jeffery","WR","CHI",44,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,799.7,15.4,6.3,NA,0,108.8
"DeAngelo Williams","RB","CAR",34,115,NA,NA,NA,NA,NA,NA,NA,176.3,794.3,4.5,5,17.7,131.7,7.4,0.7,NA,1.3,108.6
"Ronnie Hillman","RB","DEN",35,116,NA,NA,NA,NA,NA,NA,NA,146.7,674,4.6,4,33,271.7,8.2,1.3,NA,1,107.8
"Mark Ingram","RB","NO",36,117,NA,NA,NA,NA,NA,NA,NA,173,754.3,4.4,6.7,8.7,47.7,5.5,0,NA,1,107.2
"Justin Blackmon","WR","JAC",45,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,778.3,13.7,5.7,NA,0.3,105.4
"Rueben Randle","WR","NYG",47,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.3,799,15,5.7,NA,0,105.2
"Vincent Brown","WR","SD",46,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.3,786.7,14.8,5.7,NA,0,105.2
"Denarius Moore","WR","OAK",48,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.3,785.3,14.2,5.7,NA,0.7,104.8
"Antonio Gates","TE","SD",6,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,729.7,11.6,6.7,NA,0.3,104.6
"Emmanuel Sanders","WR","PIT",49,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,839,13.1,5,NA,1.3,103.4
"Kyle Rudolph","TE","MIN",7,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,664,11.3,7.3,NA,0,102.8
"Jared Cook","TE","STL",8,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.3,773,13,5.7,NA,0.3,102.6
"Jonathan Stewart","RB","CAR",37,126,NA,NA,NA,NA,NA,NA,NA,160.7,699,4.3,4.3,24,199,8.3,1,NA,1.7,102.4
"Bernard Pierce","RB","BAL",38,127,NA,NA,NA,NA,NA,NA,NA,159,752.3,4.7,4.3,15.7,102.3,6.5,0.7,NA,0.7,100.6
"BenJarvus Green-Ellis","RB","CIN",39,128,NA,NA,NA,NA,NA,NA,NA,165.3,703.3,4.3,6.3,9.7,62.3,6.4,0,NA,0.7,100.4
"Jermichael Finley","TE","GB",9,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.3,741.3,11.9,5.7,NA,0,100.2
"Kendall Wright","WR","TEN",50,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,764.3,12.5,5.7,NA,1.3,99.6
"Greg Olsen","TE","CAR",10,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.7,792,12.4,5,NA,1,99
"Brandon LaFell","WR","CAR",51,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.7,806.7,15.3,4.3,NA,0,98.8
"Sidney Rice","WR","SEA",52,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,751.3,14.4,5.7,NA,0.7,98.8
"Bryce Brown","RB","PHI",40,134,NA,NA,NA,NA,NA,NA,NA,160,718.7,4.5,5,20,131,6.5,0.7,NA,2.3,98.6
"Martellus Bennett","TE","CHI",11,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.7,693.7,12,6,NA,0,98
"Pierre Thomas","RB","NO",41,136,NA,NA,NA,NA,NA,NA,NA,133.7,591.7,4.4,4,33.7,288,8.5,1,NA,1.7,97.6
"Kenbrell Thompkins","WR","NE",53,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,718.7,13.3,5.7,NA,0,97.2
"Danny Woodhead","RB","SD",42,138,NA,NA,NA,NA,NA,NA,NA,103.3,455.7,4.4,3,41.3,363.3,8.8,2,NA,0.3,94.4
"Aaron Dobson","WR","NE",54,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,689,14.7,5.3,NA,0,93.8
"Ben Tate","RB","HOU",43,139,NA,NA,NA,NA,NA,NA,NA,137.3,675.3,4.9,5,14.7,101,6.9,0.3,NA,1,93.8
"Brian Hartline","WR","MIA",55,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.7,807.7,13.5,3.7,NA,1,93.2
"Rod Streater","WR","OAK",56,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.7,748,12.7,4.7,NA,1,92.2
"Vick Ballard","RB","IND",44,142,NA,NA,NA,NA,NA,NA,NA,137.3,578.3,4.2,4.3,23.3,177.3,7.6,1,NA,0.3,92.2
"Greg Little","WR","CLE",57,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,727.7,13.5,4.7,NA,1,91.2
"Jordan Cameron","TE","CLE",12,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.7,640,11.7,5.7,NA,0.3,90.6
"Brandon Myers","TE","NYG",13,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.3,697.3,11.2,4.7,NA,0,90.2
"Darrius Heyward-Bey","WR","IND",58,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.7,674.7,15.4,5,NA,0.7,89.6
"Owen Daniels","TE","HOU",14,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.7,681.3,11,5,NA,0.3,89.4
"Mohamed Sanu","WR","CIN",59,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.7,592.7,13,5.7,NA,0,89
"Cordarrelle Patterson","WR","MIN",60,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.3,657.7,14.8,4.7,NA,0.7,88.8
"Fred Jackson","RB","BUF",45,151,NA,NA,NA,NA,NA,NA,NA,138.7,592,4.3,4,27,182.3,6.8,0.7,NA,1.3,88.6
"Tyler Eifert","TE","CIN",15,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.7,664.7,12.6,4.7,NA,0.3,86.6
"Brandon Pettigrew","TE","DET",16,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.7,686.7,10.3,4.7,NA,1,86.2
"Johnathan Franklin","RB","GB",46,153,NA,NA,NA,NA,NA,NA,NA,124.3,563,4.5,3,27,203.7,7.5,1.3,NA,0.3,86.2
"Malcom Floyd","WR","SD",61,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.7,683.3,14.6,4,NA,1,82
"Chad Henne","QB","JAC",33,156,185.7,109,1277.7,8.7,6.7,58.7,6.9,10,30.7,3.1,0,NA,NA,NA,NA,NA,1,81.8
"Jacoby Jones","WR","BAL",62,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.7,632.3,15.2,4.3,NA,0,81.8
"Coby Fleener","TE","IND",17,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.7,615,11.7,4.7,NA,0.3,80.6
"Fred Davis","TE","WAS",18,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,607.7,12.7,4.7,NA,0,80.2
"Marcedes Lewis","TE","JAC",19,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.3,571.3,10.7,5.3,NA,0.7,79.4
"Shonn Greene","RB","TEN",47,161,NA,NA,NA,NA,NA,NA,NA,124.7,521.7,4.2,5.3,10.7,80.3,7.5,0,NA,0.7,78.4
"Zac Stacy","RB","STL",48,162,NA,NA,NA,NA,NA,NA,NA,127,563.3,4.4,4.3,12.7,95.3,7.5,0,NA,0.7,77.4
"Mikel Leshoure","RB","DET",49,163,NA,NA,NA,NA,NA,NA,NA,112.7,483.3,4.3,6,12,87.7,7.3,0,NA,2,77
"Nate Burleson","WR","DET",63,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.7,580,12.4,4.3,NA,0.7,76.4
"Dustin Keller","TE","MIA",20,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,582.3,11.6,4.3,NA,0,75.8
"Davone Bess","WR","CLE",64,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.3,612.7,11.3,4,NA,0.7,75.6
"Robert Woods","WR","BUF",65,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.3,609.7,14.4,3.7,NA,0.3,74.6
"Heath Miller","TE","PIT",21,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,535.7,12.8,4.7,NA,0,74.2
"Jeremy Kerley","WR","NYJ",66,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,662.7,12.7,2.7,NA,1.3,73.6
"Rob Housler","TE","ARI",22,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,573.3,11,4,NA,0,73
"Santonio Holmes","WR","NYJ",67,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.3,597.7,13.8,3.7,NA,0.7,72.8
"James Casey","TE","PHI",23,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.7,541.7,13.3,4.3,NA,0.3,72.2
"Markus Wheaton","WR","PIT",68,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.3,584.3,15.7,3.7,NA,0,72.2
"Keenan Allen","WR","SD",69,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.3,554.3,13.8,3.7,NA,0,72
"Bilal Powell","RB","NYJ",50,175,NA,NA,NA,NA,NA,NA,NA,103,473.3,4.6,3,24,195,8.1,0.7,NA,0.7,71.8
"Jarius Wright","WR","MIN",70,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.3,567,13.1,3.7,NA,0.3,71.6
"Santana Moss","WR","WAS",71,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.7,503.7,14.1,5,NA,0.7,71.6
"Isaiah Pead","RB","STL",51,178,NA,NA,NA,NA,NA,NA,NA,129.3,572.3,4.4,3,14.7,98.3,6.7,0.3,NA,1,70.8
"Andre Roberts","WR","ARI",72,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.3,586.3,12.1,3.3,NA,0,69.8
"Dwayne Allen","TE","IND",25,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.3,538.7,10.7,4,NA,0.3,69.4
"Ed Dickson","TE","BAL",24,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,535.7,13.1,4,NA,0.3,69.4
"Zach Miller","TE","SEA",26,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3,514.3,12.5,4.3,NA,0.3,69.2
"Michael Bush","RB","CHI",52,183,NA,NA,NA,NA,NA,NA,NA,104,418.3,4,5.3,11,83.3,7.6,0,NA,0.7,68.4
"Jacquizz Rodgers","RB","ATL",53,184,NA,NA,NA,NA,NA,NA,NA,95,415,4.4,0.7,39,318.3,8.2,1.3,NA,0.7,66.6
"Joique Bell","RB","DET",54,184,NA,NA,NA,NA,NA,NA,NA,86.3,381.3,4.4,2.7,29,236.3,8.1,1,NA,0.3,66.6
