"name","pos","name_cbs2","team_cbs2","positionRank_cbs2","overallRank_cbs2","pts_cbs2","passAtt_cbs2","passComp_cbs2","passYds_cbs2","passTds_cbs2","passInt_cbs2","rushAtt_cbs2","rushYds_cbs2","rushTds_cbs2","rec_cbs2","recYds_cbs2","recTds_cbs2","returnTds_cbs2","twoPts_cbs2","fumbles_cbs2"
"PEYTONMANNING","QB","Peyton Manning","DEN",1,1,445,640,434,5437,45,14,15,0,0,NA,NA,NA,NA,NA,3
"DREWBREES","QB","Drew Brees","NO",2,2,409,628,421,5158,41,16,30,57,0,NA,NA,NA,NA,NA,2
"AARONRODGERS","QB","Aaron Rodgers","GB",3,3,408,564,378,4964,36,8,45,187,2,NA,NA,NA,NA,NA,3
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",4,4,388,637,408,5207,38,19,32,70,0,NA,NA,NA,NA,NA,3
"NICKFOLES","QB","Nick Foles","PHI",5,5,370,612,399,4850,32,14,58,199,2,NA,NA,NA,NA,NA,3
"TOMBRADY","QB","Tom Brady","NE",6,6,368,644,414,4989,35,16,31,42,1,NA,NA,NA,NA,NA,4
"MATTRYAN","QB","Matt Ryan","ATL",7,7,348,635,407,4791,30,10,21,64,1,NA,NA,NA,NA,NA,2
"TONYROMO","QB","Tony Romo","DAL",8,8,346,631,397,4602,33,15,26,50,1,NA,NA,NA,NA,NA,3
"ANDREWLUCK","QB","Andrew Luck","IND",9,9,343,541,352,4378,28,13,60,292,3,NA,NA,NA,NA,NA,2
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",10,10,341,544,323,3975,28,15,82,401,4,NA,NA,NA,NA,NA,2
"JAYCUTLER","QB","Jay Cutler","CHI",11,11,326,544,341,4102,31,14,21,86,2,NA,NA,NA,NA,NA,3
"PHILIPRIVERS","QB","Philip Rivers","SD",12,12,324,587,389,4766,30,16,31,68,0,NA,NA,NA,NA,NA,4
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",13,13,323,626,399,4641,30,16,32,91,0,NA,NA,NA,NA,NA,3
"CARSONPALMER","QB","Carson Palmer","ARI",14,14,322,568,356,4522,33,21,25,8,0,NA,NA,NA,NA,NA,4
"RUSSELLWILSON","QB","Russell Wilson","SEA",15,15,320,506,310,4005,26,10,81,328,2,NA,NA,NA,NA,NA,3
"CAMNEWTON","QB","Cam Newton","CAR",16,16,317,526,316,3840,24,15,95,445,5,NA,NA,NA,NA,NA,4
"ANDYDALTON","QB","Andy Dalton","CIN",17,17,297,534,336,3878,29,16,57,161,1,NA,NA,NA,NA,NA,3
"ROBERTGRIFFIN","QB","Robert Griffin III","WAS",18,18,293,442,268,3524,24,12,58,312,4,NA,NA,NA,NA,NA,3
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",19,19,289,622,378,4464,22,18,58,254,2,NA,NA,NA,NA,NA,4
"JAKELOCKER","QB","Jake Locker","TEN",20,20,270,502,303,3444,22,11,48,245,3,NA,NA,NA,NA,NA,2
"ALEXSMITH","QB","Alex Smith","KC",21,21,268,551,332,3829,23,17,56,235,2,NA,NA,NA,NA,NA,4
"ELIMANNING","QB","Eli Manning","NYG",22,22,265,504,325,3882,25,14,28,31,0,NA,NA,NA,NA,NA,2
"JOEFLACCO","QB","Joe Flacco","BAL",23,23,262,540,330,4169,24,18,29,64,0,NA,NA,NA,NA,NA,4
"JOSHMCCOWN","QB","Josh McCown","TB",24,24,258,509,311,3491,27,17,32,61,1,NA,NA,NA,NA,NA,4
"JAMAALCHARLES","RB","Jamaal Charles","KC",1,25,227,NA,NA,NA,NA,NA,268,1204,9,65,525,3,NA,NA,1
"LESEANMCCOY","RB","LeSean McCoy","PHI",2,26,222,NA,NA,NA,NA,NA,287,1410,10,34,298,2,NA,NA,2
"MATTFORTE","RB","Matt Forte","CHI",2,26,222,NA,NA,NA,NA,NA,281,1256,8,62,508,3,NA,NA,2
"CALVINJOHNSON","WR","Calvin Johnson","DET",1,26,222,NA,NA,NA,NA,NA,NA,NA,NA,93,1550,13,NA,NA,1
"DEMARYIUSTHOMAS","WR","Demaryius Thomas","DEN",2,29,217,NA,NA,NA,NA,NA,NA,NA,NA,97,1466,13,NA,NA,0
"SHAUNHILL","QB","Shaun Hill","STL",25,30,206,435,260,3220,18,17,36,134,1,NA,NA,NA,NA,NA,1
"GENOSMITH","QB","Geno Smith","NYJ",26,31,205,403,248,2927,15,12,41,177,4,NA,NA,NA,NA,NA,3
"EJMANUEL","QB","EJ Manuel","BUF",27,32,204,387,226,2741,19,14,57,195,2,NA,NA,NA,NA,NA,3
"ADRIANPETERSON","RB","Adrian Peterson","MIN",4,33,202,NA,NA,NA,NA,NA,281,1277,10,42,289,1,NA,NA,2
"DEZBRYANT","WR","Dez Bryant","DAL",3,34,197,NA,NA,NA,NA,NA,NA,NA,NA,100,1353,12,NA,NA,1
"JULIOJONES","WR","Julio Jones","ATL",4,35,195,NA,NA,NA,NA,NA,NA,NA,NA,99,1473,9,NA,NA,0
"JIMMYGRAHAM","TE","Jimmy Graham","NO",1,36,194,NA,NA,NA,NA,NA,NA,NA,NA,87,1238,13,NA,NA,0
"SEAHAWKS","DST","Seahawks","SEA",1,36,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRANDONMARSHALL","WR","Brandon Marshall","CHI",5,38,189,NA,NA,NA,NA,NA,NA,NA,NA,106,1298,11,NA,NA,0
"AJGREEN","WR","A.J. Green","CIN",6,39,187,NA,NA,NA,NA,NA,NA,NA,NA,90,1288,11,NA,NA,0
"JORDYNELSON","WR","Jordy Nelson","GB",7,40,185,NA,NA,NA,NA,NA,NA,NA,NA,82,1280,11,NA,NA,1
"EDDIELACY","RB","Eddie Lacy","GB",5,41,180,NA,NA,NA,NA,NA,269,1148,9,34,231,1,NA,NA,1
"MONTEEBALL","RB","Montee Ball","DEN",6,42,179,NA,NA,NA,NA,NA,247,1075,9,33,306,1,NA,NA,2
"DEMARCOMURRAY","RB","DeMarco Murray","DAL",7,43,177,NA,NA,NA,NA,NA,251,1147,9,46,273,0,NA,NA,2
"GIOVANIBERNARD","RB","Giovani Bernard","CIN",8,44,172,NA,NA,NA,NA,NA,252,1038,6,50,406,2,NA,NA,2
"DOUGMARTIN","RB","Doug Martin","TB",9,45,170,NA,NA,NA,NA,NA,278,1184,7,37,235,1,NA,NA,2
"ALFREDMORRIS","RB","Alfred Morris","WAS",9,45,170,NA,NA,NA,NA,NA,271,1248,9,10,70,0,NA,NA,2
"PATRIOTS","DST","Patriots","NE",2,45,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARSHAWNLYNCH","RB","Marshawn Lynch","SEA",11,48,169,NA,NA,NA,NA,NA,269,1124,9,20,140,1,NA,NA,1
"BRONCOS","DST","Broncos","DEN",3,48,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARDINALS","DST","Cardinals","ARI",4,50,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RAMS","DST","Rams","STL",5,51,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49ERS","DST","49ers","SF",5,51,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LEVEONBELL","RB","Le'Veon Bell","PIT",12,53,166,NA,NA,NA,NA,NA,257,1051,7,40,319,1,NA,NA,1
"ANTONIOBROWN","WR","Antonio Brown","PIT",8,54,165,NA,NA,NA,NA,NA,NA,NA,NA,101,1235,8,NA,NA,0
"ZACSTACY","RB","Zac Stacy","STL",13,55,164,NA,NA,NA,NA,NA,274,1121,8,30,162,1,NA,NA,2
